Ticker,Name,Sector,Current Price,Forward PE,Forward Looking EPS,Forecast Dividend per Share,WACC,Trailing EPS
RIO.L,Rio Tinto Group,Basic Materials,6787.0,11.285005,6.0141754,2.99,0.0806,4.55
RKT.L,Reckitt Benckiser Group plc,Consumer Defensive,5700.0,14.892461,3.82744,2.16,0.0639,1.91
RMV.L,Rightmove plc,Communication Services,441.6000061035156,13.062771,0.33806,0.11,0.0906,0.26
RR.L,Rolls-Royce Holdings plc,Industrials,1290.0,31.897533,0.40442,0.1,0.0959,0.69
RTO.L,Rentokil Initial plc,Industrials,471.20001220703125,19.2523,0.24475,0.09,0.0756,0.09
SBRY.L,J Sainsbury plc,Consumer Defensive,347.79998779296875,13.823529,0.2516,0.14,0.0964,0.18
SDR.L,Schroders plc,Financial Services,585.5,14.177098,0.41299,0.22,0.0978,0.34
SGE.L,The Sage Group plc,Technology,834.2000122070312,14.763296,0.56505,0.22,0.0714,0.37
SGRO.L,SEGRO Plc,Real Estate,777.0,19.229816,0.40406,0.31,0.0917,0.46
SHEL.L,Shell plc,Energy,3108.0,10.903362,2.850497,1.1,0.0589,2.24
SMIN.L,Smiths Group plc,Industrials,2624.0,19.670164,1.334,0.46,0.0786,0.81
SMT.L,Scottish Mortgage Investment Trust PLC,Financial Services,1182.5,,,0.04,0.0851,3.08
SN.L,Smith & Nephew plc,Healthcare,1306.0,13.91244,0.9387282,0.29,0.0815,0.42
SPX.L,Spirax Group plc,Industrials,7410.0,22.820362,3.2471,0.98,0.0948,2.2
SSE.L,SSE plc,Utilities,2639.0,14.487582,1.82156,0.64,0.0811,0.87
STAN.L,Standard Chartered PLC,Financial Services,1680.5,8.326789,2.018185,0.45,0.0728,1.42
STJ.L,St. James's Place plc,Financial Services,1306.0,12.472661,1.04709,0.18,0.0916,0.99
SVT.L,Severn Trent PLC,Utilities,3194.0,15.75044,2.02788,1.23,0.0777,1.05
TSCO.L,Tesco PLC,Consumer Defensive,469.29998779296875,15.050833,0.31181,0.14,0.0804,0.23
ULVR.L,Unilever PLC,Consumer Defensive,5056.0,17.12515,2.9523826,1.72,0.0689,2.25
UU.L,United Utilities Group PLC,Utilities,1362.5,12.118544,1.12431,0.52,0.0779,0.59
VOD.L,Vodafone Group Public Limited Company,Communication Services,109.80000305175781,12.2611265,0.089551315,0.04,0.0712,-0.14
WEIR.L,The Weir Group PLC,Industrials,3094.0,20.170544,1.53392,0.42,0.0932,1.19
WTB.L,Whitbread plc,Consumer Cyclical,2554.0,12.613217,2.02486,0.97,0.0795,1.43
